Source,Target,Import,Export
Algeria,Italy,3755.0,5629.48
Algeria,China,8317.84,691.61
Algeria,France,4297.51,4431.26
Algeria,Spain,3130.6,4103.37
Algeria,United States,1841.54,3467.91
Argentina,Brazil,12391.98,11766.92
Argentina,China,13525.04,6155.98
Argentina,United States,5922.12,4995.2
Argentina,India,1393.78,4293.27
Argentina,Chile,695.69,4204.88
Australia,China,72858.76,116817.97
Australia,Japan,15778.72,30319.47
Australia,United States,26614.56,11021.95
Australia,"Korea, Rep.",9475.16,22592.87
Austria,Germany,69544.61,58563.81
Austria,Italy,13646.78,13155.82
Austria,Switzerland,11969.96,10081.03
Austria,China,15489.57,5700.38
Austria,United States,6722.49,12746.47
Bahrain,Saudi Arabia,966.39,2460.69
Bahrain,United Arab Emirates,1045.2,1623.38
Bahrain,Brazil,1997.2,197.36
Bahrain,China,1840.78,341.13
Bahrain,United States,738.84,1335.72
Belarus,Russian Federation,11948.93,13972.22
Belarus,China,3403.42,556.1
Belarus,Ukraine,1439.0,1214.66
Belarus,Poland,1063.59,1584.42
Belgium,Netherlands,83001.12,47637.74
Belgium,Germany,63246.18,65823.7
Belgium,France,40560.5,53115.66
Belgium,United States,19271.28,26690.62
Belgium,United Kingdom,11158.76,23950.13
Botswana,South Africa,4638.67,681.28
Botswana,Belgium,1203.72,1754.51
Botswana,United Arab Emirates,405.88,1914.33
Botswana,India,403.88,1290.51
Brazil,China,53464.02,87907.89
Brazil,United States,41502.93,31337.52
Brazil,Argentina,12412.75,11878.46
Brazil,Germany,11921.3,5042.73
Brazil,India,7233.95,4799.02
Bulgaria,Germany,5674.96,6127.79
Bulgaria,Romania,3497.74,4150.87
Bulgaria,Turkey,3635.17,2543.84
Bulgaria,Italy,3059.16,3100.8
Bulgaria,Greece,2545.24,2868.59
Canada,United States,239020.89,377983.78
Canada,China,68559.62,22404.74
Canada,Mexico,26994.86,6541.05
Canada,Japan,12324.0,11569.59
Canada,Germany,15139.53,5250.26
Chile,China,27515.17,36523.64
Chile,United States,16027.01,14932.95
Chile,Brazil,7735.61,4582.09
Chile,Japan,2140.25,7238.28
Chile,"Korea, Rep.",1877.7,4826.18
China,United States,180971.93,577125.5
China,Japan,205523.71,165822.96
China,"Korea, Rep.",213445.08,148847.03
China,"Hong Kong, China",9700.21,349442.32
Colombia,United States,14191.68,11624.29
Colombia,China,14795.95,3660.97
Colombia,Brazil,3502.32,2049.08
Colombia,Mexico,3800.48,1202.67
Colombia,India,1378.4,2238.8
"Congo, Rep.",China,460.29,1081.06
"Congo, Rep.",France,293.0,40.14
"Congo, Rep.",Belgium,211.33,44.44
Costa Rica,United States,6957.32,6269.77
Costa Rica,China,2937.92,308.63
Costa Rica,Mexico,1183.22,355.29
Costa Rica,Netherlands,113.34,1036.72
Cyprus,Greece,2455.72,307.73
Cyprus,Italy,1045.21,51.0
Cyprus,Germany,637.5,120.32
Cyprus,United Kingdom,377.43,250.35
Cyprus,Netherlands,527.15,64.88
Czech Republic,Germany,46932.18,73620.76
Czech Republic,China,35084.74,2997.8
Czech Republic,Poland,17308.25,15288.85
Czech Republic,Slovak Republic,9430.85,18298.0
Czech Republic,Italy,8969.6,8767.25
Denmark,Germany,25133.19,16167.69
Denmark,Sweden,15384.76,11630.39
Denmark,Netherlands,10029.83,5873.94
Denmark,China,9802.67,4366.83
"Egypt, Arab Rep.",China,10009.61,1288.01
"Egypt, Arab Rep.",Saudi Arabia,6251.34,1999.11
"Egypt, Arab Rep.",United States,5105.39,2159.15
"Egypt, Arab Rep.",Turkey,3131.22,2647.32
Estonia,Finland,2053.52,3090.11
Estonia,Russian Federation,2773.26,1425.93
Estonia,Germany,2255.87,1337.65
Estonia,Sweden,1089.81,1972.94
Finland,Germany,12540.3,10755.51
Finland,Sweden,9869.99,8353.45
Finland,Russian Federation,10051.97,4361.44
Finland,China,7794.66,4234.89
Finland,Netherlands,3856.89,4968.81
France,Germany,119891.0,81694.5
France,Belgium,76280.9,44709.3
France,Italy,59444.24,46408.99
France,Spain,55979.33,43452.93
France,Netherlands,63547.98,23637.5
Germany,China,170640.08,123585.27
Germany,United States,86799.0,144604.03
Germany,Netherlands,106763.47,108856.28
Germany,France,73091.4,121000.35
Germany,Poland,81518.31,92311.11
Greece,Germany,16232.67,6767.88
Greece,Italy,12174.89,9294.33
Greece,China,11849.32,1692.36
Greece,Turkey,5905.59,4869.22
